"id","code","name","account_type","taxonomy_ids","reconcile","non_trade","name@pt","deprecated"
"chart_111","111","Cash","asset_cash","l10n_pt_apo.pt_taxo_1_s,l10n_pt_apo.pt_taxo_1_m","False","","Caixa"
"chart_121","121","Bank","asset_cash","l10n_pt_apo.pt_taxo_2_s,l10n_pt_apo.pt_taxo_2_m","False","","Depósitos à ordem"
"chart_128","128","Pending Receipts","asset_current","l10n_pt_apo.pt_taxo_2_s,l10n_pt_apo.pt_taxo_2_m","True","","Recibos Pendentes"
"chart_129","129","Pending Payments","liability_current","l10n_pt_apo.pt_taxo_2_s,l10n_pt_apo.pt_taxo_2_m","True","","Pagamentos Pendentes"
"chart_131","131","Other Bank Deposits","asset_cash","l10n_pt_apo.pt_taxo_3_s,l10n_pt_apo.pt_taxo_3_m","False","","Outros Depósitos Bancários"
"chart_1411","1411","Potentially favorable","asset_non_current","l10n_pt_apo.pt_taxo_4_s,l10n_pt_apo.pt_taxo_4_m","False","","Potencialmente favoráveis"
"chart_1412","1412","Potentially unfavorable","liability_non_current","l10n_pt_apo.pt_taxo_5_s,l10n_pt_apo.pt_taxo_4_m","False","","Potencialmente desfavoráveis"
"chart_1421","1421","Financial assets","asset_non_current","l10n_pt_apo.pt_taxo_6_s,l10n_pt_apo.pt_taxo_4_m","False","","Ativos financeiros"
"chart_1422","1422","Financial liabilities","asset_non_current","l10n_pt_apo.pt_taxo_7_s,l10n_pt_apo.pt_taxo_4_m","False","","Passivos financeiros"
"chart_1431","1431","Other financial assets","asset_non_current","l10n_pt_apo.pt_taxo_8_s,l10n_pt_apo.pt_taxo_4_m","False","","Outros ativos financeiros"
"chart_1432","1432","Other financial liabilities","asset_non_current","l10n_pt_apo.pt_taxo_9_s,l10n_pt_apo.pt_taxo_4_m","False","","Outros passivos financeiros"
"chart_2111","2111","General Customers","asset_receivable",,"True","","Clientes gerais","True"
"chart_21111","21111","Customers - General Customers - National Market","asset_receivable","l10n_pt_apo.pt_taxo_10_s,l10n_pt_apo.pt_taxo_5_m","True","","Clientes C/C - Clientes Gerais - Mercado Nacional"
"chart_21112","21112","Customers - General Customers - Intracommunity Market","asset_receivable","l10n_pt_apo.pt_taxo_10_s,l10n_pt_apo.pt_taxo_5_m","True","","Clientes C/C - Clientes Gerais - Mercado Intracomunitário"
"chart_21113","21113","Customers - General Customers - Extracommunity Market","asset_receivable","l10n_pt_apo.pt_taxo_10_s,l10n_pt_apo.pt_taxo_5_m","True","","Clientes C/C - Clientes Gerais - Mercado Extracomunitário"
"chart_2112","2112","Customers - Mother company","asset_receivable",,"True","","Clientes - empresa-mãe","True"
"chart_21121","21121","Customers - Mother Company - National Market","asset_receivable","l10n_pt_apo.pt_taxo_11_s,l10n_pt_apo.pt_taxo_5_m","True","","Clientes C/C - Empresa Mãe - Mercado Nacional"
"chart_21122","21122","Customers - Mother Company - Intracommunity Market","asset_receivable","l10n_pt_apo.pt_taxo_11_s,l10n_pt_apo.pt_taxo_5_m","True","","Clientes C/C - Empresa Mãe - Mercado Intracomunitário"
"chart_21123","21123","Customers - Mother Company - Extracommunity Market","asset_receivable","l10n_pt_apo.pt_taxo_11_s,l10n_pt_apo.pt_taxo_5_m","True","","Clientes C/C - Empresa Mãe - Mercado Extracomunitário"
"chart_2113","2113","Customers - Subsidiary Companies","asset_receivable",,"True","","Clientes - empresas subsidiárias","True"
"chart_21131","21131","Customers - Subsidiary Companies - National Market","asset_receivable","l10n_pt_apo.pt_taxo_12_s,l10n_pt_apo.pt_taxo_5_m","True","","Clientes C/C - Empresas Subsidiárias - Mercado Nacional"
"chart_21132","21132","Customers - Subsidiary Companies - Intracommunity Market","asset_receivable","l10n_pt_apo.pt_taxo_12_s,l10n_pt_apo.pt_taxo_5_m","True","","Clientes C/C - Empresas Subsidiárias - Mercado Intracomunitário"
"chart_21133","21133","Customers - Subsidiary Companies - Extracommunity Market","asset_receivable","l10n_pt_apo.pt_taxo_12_s,l10n_pt_apo.pt_taxo_5_m","True","","Clientes C/C - Empresas Subsidiárias - Mercado Extracomunitário"
"chart_2114","2114","Customers - Associated Companies","asset_receivable",,"True","","Clientes - empresas associadas","True"
"chart_21141","21141","Customers - Associated Companies - National Market","asset_receivable","l10n_pt_apo.pt_taxo_13_s,l10n_pt_apo.pt_taxo_5_m","True","","Clientes C/C - Empresas Associadas - Mercado Nacional"
"chart_21142","21142","Customers - Associated Companies - Intracommunity Market","asset_receivable","l10n_pt_apo.pt_taxo_13_s,l10n_pt_apo.pt_taxo_5_m","True","","Clientes C/C - Empresas Associadas - Mercado Intracomunitário"
"chart_21143","21143","Customers - Associated Companies - Extracommunity Market","asset_receivable","l10n_pt_apo.pt_taxo_13_s,l10n_pt_apo.pt_taxo_5_m","True","","Clientes C/C - Empresas Associadas - Mercado Extracomunitário"
"chart_2115","2115","Customers - Joint enterprises","asset_receivable",,"True","","Clientes - empreendimentos conjuntos", "True"
"chart_21151","21151","Customers - Joint enterprises - National Market","asset_receivable","l10n_pt_apo.pt_taxo_14_s,l10n_pt_apo.pt_taxo_5_m","True","","Clientes C/C - Empreendimento Conjunto - Mercado Nacional"
"chart_21152","21152","Customers - Joint enterprises - Intracommunity Market","asset_receivable","l10n_pt_apo.pt_taxo_14_s,l10n_pt_apo.pt_taxo_5_m","True","","Clientes C/C - Empreendimento Conjunto - Mercado Intracomunitário"
"chart_21153","21153","Customers - Joint enterprises - Extracommunity Market","asset_receivable","l10n_pt_apo.pt_taxo_14_s,l10n_pt_apo.pt_taxo_5_m","True","","Clientes C/C - Empreendimento Conjunto - Mercado Extracomunitário"
"chart_2116","2116","Customers - Other Related Parties","asset_receivable",,"True","","Clientes - outras partes relacionadas","True"
"chart_21161","21161","Customers - Other Related Parties - National Market","asset_receivable","l10n_pt_apo.pt_taxo_15_s,l10n_pt_apo.pt_taxo_5_m","True","","Clientes C/C - Outras Partes Relacionadas - Mercado Nacional"
"chart_21162","21162","Customers - Other Related Parties - Intracommunity Market","asset_receivable","l10n_pt_apo.pt_taxo_15_s,l10n_pt_apo.pt_taxo_5_m","True","","Clientes C/C - Outras Partes Relacionadas - Mercado Intracomunitário"
"chart_21163","21163","Customers - Other Related Parties - Extracommunity Market","asset_receivable","l10n_pt_apo.pt_taxo_15_s,l10n_pt_apo.pt_taxo_5_m","True","","Clientes C/C - Outras Partes Relacionadas - Mercado Extracomunitário"
"chart_2117","2117","General customers (POS)","asset_receivable",,"True","","Clientes gerais (PoS)","True"
"chart_21171","21171","Customers - POS - National Market","asset_receivable","l10n_pt_apo.pt_taxo_5_m","True","","Clientes C/C - POS - Mercado Nacional"
"chart_21172","21172","Customers - POS - Intracommunity Market","asset_receivable","l10n_pt_apo.pt_taxo_5_m","True","","Clientes C/C - POS - Mercado Intracomunitário"
"chart_21173","21173","Customers - POS - Extracommunity Market","asset_receivable","l10n_pt_apo.pt_taxo_5_m","True","","Clientes C/C - POS - Mercado Extracomunitário"
"chart_2121","2121","General Customers","asset_receivable",,"True","","Clientes gerais","True"
"chart_21211","21211","Customers TR - General Customers - National Market","asset_current","l10n_pt_apo.pt_taxo_16_s,l10n_pt_apo.pt_taxo_6_m","True","","Clientes TR - Clientes Gerais - Mercado Nacional"
"chart_21212","21212","Customers TR - General Customers - Intracommunity Market","asset_current","l10n_pt_apo.pt_taxo_16_s,l10n_pt_apo.pt_taxo_6_m","True","","Clientes TR - Clientes Gerais - Mercado Intracomunitário"
"chart_21213","21213","Customers TR - General Customers - Extracommunity Market","asset_current","l10n_pt_apo.pt_taxo_16_s,l10n_pt_apo.pt_taxo_6_m","True","","Clientes TR - Clientes Gerais - Mercado Extracomunitário"
"chart_2122","2122","Customers - Mother Company","asset_receivable",,"True","","Clientes - empresa-mãe","True"
"chart_21221","21221","Customers TR - Mother Company - National Market","asset_receivable","l10n_pt_apo.pt_taxo_17_s,l10n_pt_apo.pt_taxo_6_m","True","","Clientes TR - Empresa Mãe - Mercado Nacional"
"chart_21222","21222","Customers TR - Mother Company - Intracommunity Market","asset_receivable","l10n_pt_apo.pt_taxo_17_s,l10n_pt_apo.pt_taxo_6_m","True","","Clientes TR - Empresa Mãe - Mercado Intracomunitário"
"chart_21223","21223","Customers TR - Mother Company - Extracommunity Market","asset_receivable","l10n_pt_apo.pt_taxo_17_s,l10n_pt_apo.pt_taxo_6_m","True","","Clientes TR - Empresa Mãe - Mercado Extracomunitário"
"chart_2123","2123","Customers - Subsidiary Companies","asset_receivable",,"True","","Clientes - empresas subsidiárias","True"
"chart_21231","21231","Customers TR - Subsidiary Companies - National Market","asset_receivable","l10n_pt_apo.pt_taxo_18_s,l10n_pt_apo.pt_taxo_6_m","True","","Clientes TR - Empresas Subsidiárias - Mercado Nacional"
"chart_21232","21232","Customers TR - Subsidiary Companies - Intracommunity Market","asset_receivable","l10n_pt_apo.pt_taxo_18_s,l10n_pt_apo.pt_taxo_6_m","True","","Clientes TR - Empresas Subsidiárias - Mercado Intracomunitário"
"chart_21233","21233","Customers TR - Subsidiary Companies - Extracommunity Market","asset_receivable","l10n_pt_apo.pt_taxo_18_s,l10n_pt_apo.pt_taxo_6_m","True","","Clientes TR - Empresas Subsidiárias - Mercado Extracomunitário"
"chart_2124","2124","Customers - Associated Companies","asset_receivable",,"True","","Clientes - empresas associadas","True"
"chart_21241","21241","Customers TR - Associated Companies - National Market","asset_receivable","l10n_pt_apo.pt_taxo_19_s,l10n_pt_apo.pt_taxo_6_m","True","","Clientes TR - Empresas Associadas - Mercado Nacional"
"chart_21242","21242","Customers TR - Associated Companies - Intracommunity Market","asset_receivable","l10n_pt_apo.pt_taxo_19_s,l10n_pt_apo.pt_taxo_6_m","True","","Clientes TR - Empresas Associadas - Mercado Intracomunitário"
"chart_21243","21243","Customers TR - Associated Companies - Extracommunity Market","asset_receivable","l10n_pt_apo.pt_taxo_19_s,l10n_pt_apo.pt_taxo_6_m","True","","Clientes TR - Empresas Associadas - Mercado Extracomunitário"
"chart_2125","2125","Customers - Joint enterprises","asset_receivable",,"True","","Clientes - empreendimentos conjuntos","True"
"chart_21251","21251","Customers TR - Joint enterprises - National Market","asset_receivable","l10n_pt_apo.pt_taxo_20_s,l10n_pt_apo.pt_taxo_6_m","True","","Clientes TR - Empreendimento Conjunto - Mercado Nacional"
"chart_21252","21252","Customers TR - Joint enterprises - Intracommunity Market","asset_receivable","l10n_pt_apo.pt_taxo_20_s,l10n_pt_apo.pt_taxo_6_m","True","","Clientes TR - Empreendimento Conjunto - Mercado Intracomunitário"
