"id","sequence","name","auto_apply","vat_required","country_id","country_group_id","state_ids","tax_ids/tax_src_id","tax_ids/tax_dest_id","account_ids/account_src_id","account_ids/account_dest_id","name@pt"
"fiscal_position_acores","1","Azores","1","0","base.pt","","base.state_pt_pt-20","iva_pt_purchase_normal_fixed_assets","iva_pt_ac_purchase_normal_fixed_assets","","","Açores"
"","","","","","","","","iva_pt_purchase_intermedia_fixed_assets","iva_pt_ac_purchase_intermedia_fixed_assets","","",""
"","","","","","","","","iva_pt_purchase_reduzida_fixed_assets","iva_pt_ac_purchase_reduzida_fixed_assets","","",""
"","","","","","","","","iva_pt_purchase_normal","iva_pt_ac_purchase_normal","","",""
"","","","","","","","","iva_pt_purchase_intermedia","iva_pt_ac_purchase_intermedia","","",""
"","","","","","","","","iva_pt_purchase_reduzida","iva_pt_ac_purchase_reduzida","","",""
"","","","","","","","","iva_pt_ac_purchase_normal_service","iva_pt_purchase_normal_service","","",""
"","","","","","","","","iva_pt_ac_purchase_intermedia_service","iva_pt_purchase_intermedia_service","","",""
"","","","","","","","","iva_pt_ac_purchase_reduzida_service","iva_pt_purchase_reduzida_service","","",""
"","","","","","","","","iva_pt_sale_normal_service","iva_pt_ac_sale_normal_service","","",""
"","","","","","","","","iva_pt_sale_intermedia_service","iva_pt_ac_sale_intermedia_service","","",""
"","","","","","","","","iva_pt_sale_reduzida_service","iva_pt_ac_sale_reduzida_service","","",""
"","","","","","","","","iva_pt_sale_normal","iva_pt_sale_normal","","",""
"","","","","","","","","iva_pt_sale_intermedia","iva_pt_sale_intermedia","","",""
"","","","","","","","","iva_pt_sale_reduzida","iva_pt_sale_reduzida","","",""
"fiscal_position_madeira","2","Madeira","1","0","base.pt","","base.state_pt_pt-30","iva_pt_purchase_normal_fixed_assets","iva_pt_ma_purchase_normal_fixed_assets","","","Madeira"
"","","","","","","","","iva_pt_purchase_intermedia_fixed_assets","iva_pt_ma_purchase_intermedia_fixed_assets","","",""
"","","","","","","","","iva_pt_purchase_reduzida_fixed_assets","iva_pt_ma_purchase_reduzida_fixed_assets","","",""
"","","","","","","","","iva_pt_purchase_normal","iva_pt_ma_purchase_normal","","",""
"","","","","","","","","iva_pt_purchase_intermedia","iva_pt_ma_purchase_intermedia","","",""
"","","","","","","","","iva_pt_purchase_reduzida","iva_pt_ma_purchase_reduzida","","",""
"","","","","","","","","iva_pt_ma_purchase_normal_service","iva_pt_purchase_normal_service","","",""
"","","","","","","","","iva_pt_ma_purchase_intermedia_service","iva_pt_purchase_intermedia_service","","",""
"","","","","","","","","iva_pt_ma_purchase_reduzida_service","iva_pt_purchase_reduzida_service","","",""
"","","","","","","","","iva_pt_sale_normal_service","iva_pt_ma_sale_normal_service","","",""
"","","","","","","","","iva_pt_sale_intermedia_service","iva_pt_ma_sale_intermedia_service","","",""
"","","","","","","","","iva_pt_sale_reduzida_service","iva_pt_ma_sale_reduzida_service","","",""
"","","","","","","","","iva_pt_sale_normal","iva_pt_sale_normal","","",""
"","","","","","","","","iva_pt_sale_intermedia","iva_pt_sale_intermedia","","",""
"","","","","","","","","iva_pt_sale_reduzida","iva_pt_sale_reduzida","","",""
"fiscal_position_national_customers","3","Portugal","1","","base.pt",,,"","","","","Portugal"
"fiscal_position_foreign_eu_private","4","Private EU","1","","",base.europe,"","",,,,"Intra-comunitário privado (UE)"
"fiscal_position_foreign_eu","5","Intra-Community","1","","","base.europe","","iva_pt_purchase_normal_fixed_assets","iva_pt_purchase_normal_fixed_assets_ic","","","Intracomunitário"
"","","","","","","","","iva_pt_purchase_intermedia_fixed_assets","iva_pt_purchase_intermedia_fixed_assets_ic","","",""
"","","","","","","","","iva_pt_purchase_reduzida_fixed_assets","iva_pt_purchase_reduzida_fixed_assets_ic","","",""
"","","","","","","","","iva_pt_purchase_normal","iva_pt_purchase_normal_ic","","",""
"","","","","","","","","iva_pt_purchase_intermedia","iva_pt_purchase_intermedia_ic","","",""
"","","","","","","","","iva_pt_purchase_reduzida","iva_pt_purchase_reduzida_ic","","",""
"","","","","","","","","iva_pt_purchase_normal_service","iva_pt_purchase_normal_service_ic","","",""
"","","","","","","","","iva_pt_purchase_intermedia_service","iva_pt_purchase_intermedia_service_ic","","",""
"","","","","","","","","iva_pt_purchase_reduzida_service","iva_pt_purchase_reduzida_service_ic","","",""
"","","","","","","","","iva_pt_ac_purchase_normal_fixed_assets","iva_pt_ac_purchase_normal_fixed_assets_ic","","",""
"","","","","","","","","iva_pt_ac_purchase_intermedia_fixed_assets","iva_pt_ac_purchase_intermedia_fixed_assets_ic","","",""
"","","","","","","","","iva_pt_ac_purchase_reduzida_fixed_assets","iva_pt_ac_purchase_reduzida_fixed_assets_ic","","",""
"","","","","","","","","iva_pt_ac_purchase_normal","iva_pt_ac_purchase_normal_ic","","",""
"","","","","","","","","iva_pt_ac_purchase_intermedia","iva_pt_ac_purchase_intermedia_ic","","",""
"","","","","","","","","iva_pt_ac_purchase_reduzida","iva_pt_ac_purchase_reduzida_ic","","",""
"","","","","","","","","iva_pt_ac_purchase_normal_service","iva_pt_ac_purchase_normal_service_ic","","",""
"","","","","","","","","iva_pt_ac_purchase_intermedia_service","iva_pt_ac_purchase_intermedia_service_ic","","",""
"","","","","","","","","iva_pt_ac_purchase_reduzida_service","iva_pt_ac_purchase_reduzida_service_ic","","",""
"","","","","","","","","iva_pt_ma_purchase_normal_fixed_assets","iva_pt_ma_purchase_normal_fixed_assets_ic","","",""
"","","","","","","","","iva_pt_ma_purchase_intermedia_fixed_assets","iva_pt_ma_purchase_intermedia_fixed_assets_ic","","",""
"","","","","","","","","iva_pt_ma_purchase_reduzida_fixed_assets","iva_pt_ma_purchase_reduzida_fixed_assets_ic","","",""
"","","","","","","","","iva_pt_ma_purchase_normal","iva_pt_ma_purchase_normal_ic","","",""
"","","","","","","","","iva_pt_ma_purchase_intermedia","iva_pt_ma_purchase_intermedia_ic","","",""
"","","","","","","","","iva_pt_ma_purchase_reduzida","iva_pt_ac_purchase_reduzida_ic","","",""
"","","","","","","","","iva_pt_ma_purchase_normal_service","iva_pt_ma_purchase_normal_service_ic","","",""
"","","","","","","","","iva_pt_ma_purchase_intermedia_service","iva_pt_ma_purchase_intermedia_service_ic","","",""
"","","","","","","","","iva_pt_ma_purchase_reduzida_service","iva_pt_ma_purchase_reduzida_service_ic","","",""
"","","","","","","","","iva_pt_sale_normal","iva_pt_sale_eu_isenta","","",""
"","","","","","","","","iva_pt_sale_intermedia","iva_pt_sale_eu_isenta","","",""
"","","","","","","","","iva_pt_sale_reduzida","iva_pt_sale_eu_isenta","","",""
"","","","","","","","","iva_pt_ac_sale_normal_service","iva_pt_sale_eu_isenta","","",""
"","","","","","","","","iva_pt_ac_sale_intermedia_service","iva_pt_sale_eu_isenta","","",""
"","","","","","","","","iva_pt_ac_sale_reduzida_service","iva_pt_sale_eu_isenta","","",""
"","","","","","","","","iva_pt_ma_sale_normal","iva_pt_sale_eu_isenta","","",""
"","","","","","","","","iva_pt_ma_sale_intermedia","iva_pt_sale_eu_isenta","","",""
"","","","","","","","","iva_pt_ma_sale_reduzida","iva_pt_sale_eu_isenta","","",""
"","","","","","","","","iva_pt_ma_sale_normal_service","iva_pt_sale_eu_isenta","","",""
"","","","","","","","","iva_pt_ma_sale_intermedia_service","iva_pt_sale_eu_isenta","","",""
"","","","","","","","","iva_pt_ma_sale_reduzida_service","iva_pt_sale_eu_isenta","","",""
"","","","","","","","","iva_pt_sale_normal_service","iva_pt_sale_eu_isenta","","",""
"","","","","","","","","iva_pt_sale_intermedia_service","iva_pt_sale_eu_isenta","","",""
"","","","","","","","","iva_pt_sale_reduzida_service","iva_pt_sale_eu_isenta","","",""
"","","","","","","","","","","chart_21111","chart_21112",""
"","","","","","","","","","","chart_21121","chart_21122",""
"","","","","","","","","","","chart_21131","chart_21132",""
"","","","","","","","","","","chart_21141","chart_21142",""
"","","","","","","","","","","chart_21151","chart_21152",""
"","","","","","","","","","","chart_21161","chart_21162",""
"","","","","","","","","","","chart_21171","chart_21172",""
"","","","","","","","","","","chart_21211","chart_21212",""
"","","","","","","","","","","chart_21221","chart_21222",""
"","","","","","","","","","","chart_21231","chart_21232",""
"","","","","","","","","","","chart_21241","chart_21242",""
"","","","","","","","","","","chart_21251","chart_21252",""
"","","","","","","","","","","chart_21261","chart_21262",""
"","","","","","","","","","","chart_2181","chart_2182",""
"","","","","","","","","","","chart_219111","chart_219112",""
"","","","","","","","","","","chart_219121","chart_219122",""
"","","","","","","","","","","chart_219131","chart_219132",""
"","","","","","","","","","","chart_219141","chart_219142",""
"","","","","","","","","","","chart_219151","chart_219152",""
"","","","","","","","","","","chart_219161","chart_219162",""
"","","","","","","","","","","chart_219211","chart_219212",""
"","","","","","","","","","","chart_219221","chart_219222",""
"","","","","","","","","","","chart_219231","chart_219232",""
"","","","","","","","","","","chart_219241","chart_219242",""
"","","","","","","","","","","chart_219251","chart_219252",""
"","","","","","","","","","","chart_219261","chart_219262",""
"","","","","","","","","","","chart_219311","chart_219322",""
"","","","","","","","","","","chart_22111","chart_22112",""
"","","","","","","","","","","chart_22121","chart_22122",""
"","","","","","","","","","","chart_22131","chart_22132",""
"","","","","","","","","","","chart_22141","chart_22142",""
"","","","","","","","","","","chart_22151","chart_22152",""
"","","","","","","","","","","chart_22161","chart_22162",""
"","","","","","","","","","","chart_22211","chart_22212",""
"","","","","","","","","","","chart_22221","chart_22222",""
"","","","","","","","","","","chart_22231","chart_22232",""
"","","","","","","","","","","chart_22241","chart_22242",""
"","","","","","","","","","","chart_22251","chart_22252",""
"","","","","","","","","","","chart_22261","chart_22262",""
"","","","","","","","","","","chart_2251","chart_2252",""
"","","","","","","","","","","chart_2281","chart_2282",""
"","","","","","","","","","","chart_22911","chart_22912",""
"","","","","","","","","","","chart_22921","chart_22922",""
"","","","","","","","","","","chart_22931","chart_22932",""
"","","","","","","","","","","chart_22941","chart_22942",""
"","","","","","","","","","","chart_22951","chart_22952",""
