id,code_prefix_start,name,name@pt
chart_group_1,1,Liquid financial means,Meios financeiros líquidos
chart_group_11,11,Cash,Caixa
chart_group_12,12,Demand Deposits,Depósitos à Ordem
chart_group_12b,12,Other Bank Deposits,Outros Depósitos Bancários
chart_group_13,13,Outros Depósitos Bancários,Outros Depósitos Bancários
chart_group_14,14,Potencialmente favoráveis,Potencialmente favoráveis
chart_group_141,141,Byproducts,Subprodutos
chart_group_142,142,Financial instruments held for negotiation,Instrumentos financeiros detidos para negociação
chart_group_143,143,Other assets and financial liabilities,Outros ativos e passivos financeiros
chart_group_2,2,Accounts receivable and payable,Contas a receber e a pagar
chart_group_21,21,Customers,Clientes
chart_group_211,211,Customers c/c,Clientes c/c
chart_group_2111,2111,Customers c/c - General Customers,Clientes c/c - Clientes Gerais
chart_group_2112,2112,Customers c/c - Mother Company,Clientes c/c - Empresa Mãe
chart_group_2113,2113,Customers c/c - Subsidiary Companies,Clientes c/c - Empresas Subsidiárias
chart_group_2114,2114,Customers c/c - Associated Companies,Clientes c/c - Empresas Associadas
chart_group_2115,2115,Customers c/c - Joint enterprises,Clientes c/c - Empreendimento Conjunto
chart_group_2116,2116,Customers c/c - Other Related Parties,Clientes c/c - Outras Partes Relacionadas
chart_group_2117,2117,Customers c/c - POS,Clientes c/c - POS
chart_group_212,212,Customers - Titles Receivable,Clientes - títulos a receber
chart_group_2121,2121,Customers TR - General Customers - Titles Receivable,Clientes - Clientes Gerais - Títulos a Receber
chart_group_2122,2122,Customers TR - Mother Company - Titles Receivable,Clientes - Empresa Mãe - Títulos a Receber
chart_group_2123,2123,Customers TR - Subsidiary Companies - Titles Receivable,Clientes - Empresas Subsidiárias - Títulos a Receber
chart_group_2124,2124,Customers TR - Associated Companies - Titles Receivable,Clientes - Empresas Associadas - Títulos a Receber
chart_group_2125,2125,Customers TR - Joint enterprises - Titles Receivable,Clientes - Empreendimento Conjunto - Títulos a Receber
chart_group_2126,2126,Customers TR - Other Related Parties - Titles Receivable,Clientes - Outras Partes Relacionadas - Títulos a Receber
chart_group_218,218,Customers - Advances,Clientes - Adiantamentos
chart_group_219,219,Accumulated impairment losses,Perdas por imparidade acumuladas
chart_group_2191,2191,Customers c/c,Clientes c/c
chart_group_21911,21911,Customers c/c - General Customers,Clientes c/c - Clientes Gerais
chart_group_21912,21912,Customers c/c - Mother Company,Clientes c/c - Empresa Mãe
chart_group_21913,21913,Customers c/c - Subsidiary Companies,Clientes c/c - Empresas Subsidiárias
chart_group_21914,21914,Customers c/c - Associated Companies,Clientes c/c - Empresas Associadas
chart_group_21915,21915,Customers c/c - Joint enterprises,Clientes c/c - Empreendimento Conjunto
chart_group_21916,21916,Customers c/c - Other Related Parties,Clientes c/c - Outras Partes Relacionadas
chart_group_2192,2192,Customers - Titles Receivable,Clientes - títulos a receber
chart_group_21921,21921,Customers - General Customers - Titles Receivable,Clientes - Clientes Gerais - títulos a receber
chart_group_21922,21922,Customers - Mother Company - Titles Receivable,Clientes - Empresa Mãe - títulos a receber
chart_group_21923,21923,Customers - Subsidiary Companies - Titles Receivable,Clientes - Empresas Subsidiárias - títulos a receber
chart_group_21924,21924,Customers - Associated Companies - Titles Receivable,Clientes - Empresas Associadas - títulos a receber
chart_group_21925,21925,Customers - Joint enterprises - Titles Receivable,Clientes - Empreendimento Conjunto - títulos a receber
chart_group_21926,21926,Customers - Other Related Parties - Titles Receivable,Clientes - Outras Partes Relacionadas - títulos a receber
chart_group_2193,2193,Accumulated impairment losses - Other Customers,Perdas por imparidade acumuladas - Outros Clientes
chart_group_22,22,Suppliers,Fornecedores
chart_group_221,221,Suppliers c/c,Fornecedores c/c
chart_group_2211,2211,Suppliers c/c - General Suppliers,Fornecedores c/c - Fornecedores Gerais
chart_group_2212,2212,Suppliers c/c - Mother Company,Fornecedores c/c - Empresa Mãe
chart_group_2213,2213,Suppliers c/c - Subsidiary Companies,Fornecedores c/c - Empresas Subsidiárias
chart_group_2214,2214,Suppliers c/c - Associated Companies,Fornecedores c/c - Empresas Associadas
chart_group_2215,2215,Suppliers c/c - Joint enterprises,Fornecedores c/c - Empreendimento Conjunto
chart_group_2216,2216,Suppliers c/c - Other Related Parties,Fornecedores c/c - Outras Partes Relacionadas
chart_group_222,222,Suppliers - Titles payable,Fornecedores - títulos a pagar
chart_group_2221,2221,Suppliers - General Suppliers - Titles payable,Fornecedores - Fornecedores Gerais - títulos a pagar
chart_group_2222,2222,Suppliers - Mother Company - Titles payable,Fornecedores - Empresa Mãe - títulos a pagar
chart_group_2223,2223,Suppliers - Subsidiary Companies - Titles payable,Fornecedores - Empresas Subsidiárias - títulos a pagar
chart_group_2224,2224,Suppliers - Associated Companies - Titles payable,Fornecedores - Empresas Associadas - títulos a pagar
chart_group_2225,2225,Suppliers - Joint enterprises - Titles payable,Fornecedores - Empreendimento Conjunto - títulos a pagar
chart_group_2226,2226,Suppliers - Other Related Parties - Titles payable,Fornecedores - Outras Partes Relacionadas - títulos a pagar
chart_group_225,225,Suppliers - Invoices Received and Checked,Fornecedores - Faturas em Receção e Conferência
chart_group_228,228,Suppliers - Advances,Fornecedores - Adiantamentos
chart_group_229,229,Suppliers - Accumulated impairment losses,Fornecedores - PIA
chart_group_2291,2291,Suppliers - Accumulated impairment losses - General Suppliers,Fornecedores - PIA - Fornecedores Gerais
chart_group_2292,2292,Suppliers - Accumulated impairment losses - Mother Company,Fornecedores - PIA - Empresa Mãe
chart_group_2293,2293,Suppliers - Accumulated impairment losses - Subsidiary Companies,Fornecedores - PIA - Empresas Subsidiárias
chart_group_2294,2294,Suppliers - Accumulated impairment losses - Associated Companies,Fornecedores - PIA - Empresas Associadas
chart_group_2295,2295,Suppliers - Accumulated impairment losses - Joint enterprises,Fornecedores - PIA - Empreendimento Conjunto
chart_group_2296,2296,Suppliers - Accumulated impairment losses - Other Related Parties,Fornecedores - PIA - Outras Partes Relacionadas
chart_group_23,23,Staff,Ao pessoal
chart_group_231,231,Remunerations to be paid,Remunerações a pagar
chart_group_232,232,Advance,Adiantamentos
chart_group_2331,2331,With the corporate bodies,Com os órgãos sociais
chart_group_2332,2332,With the staff,Com o pessoal
